,0,1,2,3,4
0,Number of tailoring shop and person engaged 2011,,,,
1,Kishoreganj,,,,
2,,,,,
3,Upazila,Units,Persons engaged - Family,Persons engaged - Hired,Persons engaged - Total
4,Austagram,53,60,96,156
5,Bajitpur,50,50,100,150
6,Bhairab,150,150,156,306
7,Hossainpur,55,100,110,210
8,Itna,125,270,75,245
9,Karimganj,190,180,270,450
10,Katiadi,500,500,50,550
11,Kishoreganj Sadar,193,199,75,274
12,Kuliar-char,162,162,32,1094
13,Mithamain,31,72,30,102
14,Nikli,335,680,140,820
15,Pakundia,145,135,485,620
16,Tarail,135,160,775,935
17,Total,2124,2718,2394,5912
