,0,1,2,3,4,5,6
0,Status of family planning activity 2011,,,,,,
1,Kurigram,,,,,,
2,,,,,,,
3,Upazila,Sterilization in number - Vasectomy,Sterilization in number - Tubectomy,IUD/ Injection,Condom (in piece),Oral pill (in cycle),Copper- T
4,Bhurungamari,1308,3628,18235,2508,12332,563
5,Char Rajibpur,602,313,5718,2355,5271,460
6,Chilmari,318,225,25074,137304,231644,441
7,Kurigram Sadar,4560,201,39280,420985,612189,398
8,Nageshwari,3738,4391,15704,1755,42281,1807
9,Phulbari,336,787,26871,70450,197489,309
10,Rajarhat,1272,2533,8499,10000,30000,100
11,Raumari,432,811,4958,2558,11975,209
12,Ulipur,180,300,31600,1900,58200,2100
13,Total,12746,13189,175939,649815,1201381,6387
