,0,1,2,3,4,5,6
0,Number of holdings reporting selected livestock species 2008,,,,,,
1,Kushtia,,,,,,
2,,,,,,,
3,Upazila,Cows  Buffaloes - Holding /Farm Number,Cows  Buffaloes - Animal number,Goats - Holding/ Farm number,Goats - Goats number,Sheep - Holding/ Farm Number,Sheep - Sheep Number
4,Kushtia Sadar,21470,79597,21410,36650,7,210
5,Bheramara,13029,24867,19555,52011,147,717
6,Daulatpur,1115,52000,3000,44000,400,15300
7,Khoksa,23623,24439,12205,18420,25,262
8,Kumarkhali,35113,105339,395,990,7,29
9,Mirpur,36999,137559,8103,18343,242,18201
10,Total,131349,423801,64668,170414,828,34719
