,0,1,2,3,4,5,6
0,"Area and production of pepper, onion and garlic 2009-10",,,,,,
1,Naogaon,,,,,,
2,(Area in acre and production in metric ton),,,,,,
3,Upazila,Pepper Area,Pepper Production,Onion Area,Onion Production,Garlic Area,Garlic Production
4,Atrai,19,18,327,712,63,91
5,Badalgachhi,444,2320,903,3370,242,804
6,Dhamoirhat,50,57,460,1104,31,61
7,Manda,42,202,2000,10800,69,116
8,Mahadebpur,175,76,275,803,29,41
9,Naogaon sadar,37,36,501,1233,40,45
10,Niamatpur,24,23,251,524,203,308
11,Patnitala,93,29,361,733,71,176
12,Porsha,62,35,433,979,108,140
13,Raninagar,9,4,39,103,20,24
14,Sapahar,72,102,367,745,260,342
15,Total,1027,2902,5917,21106,1136,2148
