,0,1,2,3,4,5,6
0,Area and production of potato by type 2009-10,,,,,,
1,Naogaon,,,,,,
2,(Area in acre and production in metric ton),,,,,,
3, Upazila,Potato - Area,Potato - Production,Sweet potato - Area,Sweet potato - Production,Total potato - Area,Total potato - Production
4,Atrai,2034,5016,0,0,2034,5016
5,Badalgachhi,8531,49625,304,1191,8835,50816
6,Dhamoirhat,5400,23760,32,76,5432,23836
7,Manda,13340,66885,23,101,13363,66986
8,Mahadebpur,3300,21099,88,381,3388,21488
9,Naogaon sadar,7500,40500,39,139,7639,40639
10,Niamatpur,3275,27774,0,0,3275,27774
11,Patnitala,896,4922,66,200,962,5122
12,Porsha,1127,7061,39,2,1166,7063
13,Raninagar,889,2154,10,44,899,2198
14,Sapahar,2838,4445,6,9,2844,4454
15,Total,49130,253241,607,2143,49837,255392
