,0,1,2,3,4,5,6
0,Number of missionary hospital and charitable dispensary 2011,,,,,,
1,Naogaon,,,,,,
2,,,,,,,
3,Upazila,Number of centre,Number of bed,Number of doctor,Number of nurse,Number of technician,Number of other staff
4,Atrai,1,0,1,0,1,2
5,Badalgachhi,0,0,0,0,0,0
6,Dhamoirhat,0,0,0,0,0,0
7,Manda,0,0,0,0,0,0
8,Mahadebpur,0,0,0,0,0,0
9,Naogaon sadar,0,0,0,0,0,0
10,Niamatpur,2,20,10,8,6,9
11,Patnitala,1,36,1,6,2,8
12,Porsha,0,0,0,0,0,0
13,Raninagar,0,0,0,0,0,0
14,Sapahar,0,0,0,0,0,0
15,Total,4,56,12,14,9,19
