,0,1,2,3,4,5,6
0,"Selected poultry, birds 2008",,,,,,
1,Narsingdi,,,,,,
2,,,,,,,
3, Upazila,Hen and cock - Holding reporting,Hen and cock - Total number,Duck - Holding reporting,Duck - Total number,Others - Holding reporting,Others - Total number
4,Belabo,37812,478100,9746,29839,911,5853
5,Manohardi,10550,173450,2058,30120,0,0
6,Narsingdi Sadar,9221,229395,2655,78680,450,5950
7,Palash,355,1200,29,3000,4,10000
8,Roypura,62206,372932,31007,146487,2765,19258
9,Shibpur,25875,162088,11142,46134,1742,8856
10,Total,146019,1417165,56637,334260,5872,49917
