,0,1,2,3,4,5,6,7,8
0,"Number of Government college, teacher and student 2011",,,,,,,,
1,Narsingdi,,,,,,,,
2,,,,,,,,,
3, Upazila,Number of  college,Number of teacher - Male,Number of teacher - Female,Number of teacher - Total,Number of student - Male,Number of student - Female,Number of student - Total,Students per teacher
4,Belabo,0,0,0,0,0,0,0,0
5,Manohardi,0,0,0,0,0,0,0,0
6,Narsingdi Sadar,2,70,31,101,9750,6972,16722,165
7,Palash,0,0,0,0,0,0,0,0
8,Roypura,0,0,0,0,0,0,0,0
9,Shibpur,1,25,16,41,1672,1231,2903,73
10,Total,3,95,47,142,11422,8203,19625,138
