,0,1,2,3,4,5,6,7
0,Average price of selected item 2011,,,,,,,
1,Netrokona,,,,,,,
2,"(Price unit per kg, taka)",,,,,,,
3,Upazila,Fine rice (minicate),Medium rice,Coarse rice (normal),Wheat,Coarse flour (Aata),Potato,Soyabean oil
4,Atpara,0,28,26,20,28,14,120
5,Barhatta,0,34,32,21,32,14,120
6,Durgapur,40,32,28,13,25,10,132
7,Kalmakanda,0,32,30,25,34,14,130
8,Kendua,35,33,30,22,38,12,140
9,Khaliajuri,0,35,33,0,25,18,140
10,Madan,32,30,28,0,32,15,110
11,Mohanganj,40,35,27,25,35,15,130
12,Netrokona Sadar,44,29,28,18,33,12,120
13,Purbadhala,44,35,28,20,26,10,115
14,Average,39,32,29,21,31,13,126
