,0,1,2,3,4,5,6,7,8
0,"Number of Non Government college, teacher and student 2011",,,,,,,,
1,Panchagor,,,,,,,,
2,,,,,,,,,
3,Upazila,Number of college,Number of teacher Male,Number of teacher Female,Number of teacher Total,Number of student Male,Number of student Female,Number of student Total,Students per teacher
4,Atwari,5,123,19,142,1435,862,2297,16
5,Boda,5,101,27,128,1115,1845,2960,23
6,Debiganj,7,150,27,177,2411,1899,4310,24
7,Panchagarh Sadar,4,104,19,123,1539,1240,2779,23
8,Tentulia,4,76,19,95,474,666,1140,12
9,Total,25,554,111,665,6974,6512,13486,20
