,0,1,2,3,4,5,6
0,"Number of Government office, post office, bank, NGO and dak-banglow, rest house 2011",,,,,,
1,Patuakhali,,,,,,
2,,,,,,,
3,Upazila,All   Government offices, Post office,All   nationalized bank branches,All private bank branches, All NGOs, Dak-banglow/ rest house
4,Bauphal,29,52,11,0,25,2
5,Dashmina,25,6,6,0,18,1
6,Dumki,21,8,6,0,14,1
7,Galachipa,26,30,11,4,17,2
8,Kalapara,31,27,11,3,23,3
9,Mirzaganj,30,25,3,0,7,2
10,Patuakhali Sadar,23,42,17,14,16,8
11,Total,185,190,65,21,120,19
