,0,1,2,3,4,5,6,7,8
0,"Number of growth centre, hat , bazar, poultry farm, dairy farm, nursery, horticulture centre, brick kiln, decorator services 2011",,,,,,,,
1,Rajshahi,,,,,,,,
2,,,,,,,,,
3,Upazila/city corporation,Growth centre,Hat /bazar,Poultry farm,Dairy farm,Nursery,Horticulture centre,Brick kiln,Decorator service
4,Bagha,6,28,188,100,6,0,0,18
5,Baghmara,5,58,347,43,32,0,10,53
6,Charghat,3,14,196,127,26,0,2,7
7,Durgapur,4,15,79,117,13,0,8,9
8,Godagari,7,26,104,11,16,0,12,24
9,Mohanpur,4,16,84,16,17,0,7,13
10,Paba,4,24,95,29,9,0,15,30
11,Puthia,4,22,73,59,13,0,6,23
12,Rajshahi City Corporation,7,40,257,389,9,1,0,58
13,Tanore,8,12,24,12,3,0,1,16
14,Total,52,255,1447,903,144,1,61,251
