,0,1,2,3,4,5,6,7,8,9,10
0,Number of branch and accounts of Pubali and Uttara bank 2011,,,,,,,,,,
1,Rangamati,,,,,,,,,,
2,,,,,,,,,,,
3, Upazila,Pubali bank - Number of  branch,Pubali bank - Account - S.D,Pubali bank - Account - C.D,Pubali bank - Account - F.D,Pubali bank - Account - S.T.D,Uttara bank - Number of  branch,Uttara bank - Account - S.D,Uttara bank - Account - C.D,Uttara bank - Account - F.D,Uttara bank - Account - S.T.D
4,Baghaichhari,0,0,0,0,0,0,0,0,0,0
5,Barkal,0,0,0,0,0,0,0,0,0,0
6,Belai Chhari,0,0,0,0,0,0,0,0,0,0
7,Jurai Chhari,0,0,0,0,0,0,0,0,0,0
8,Kaptai,0,0,0,0,0,0,0,0,0,0
9,Kawkhali,0,0,0,0,0,0,0,0,0,0
10,Langadu,0,0,0,0,0,0,0,0,0,0
11,Naniarchar,0,0,0,0,0,0,0,0,0,0
12,Rangamati Sadar,1,1708,788,189,72,1,298,121,43,3
13,Rajasthali,0,0,0,0,0,0,0,0,0,0
14,Total,1,1708,788,189,72,1,298,121,43,3
