,0,1,2,3,4,5,6
0,"Area and production of lentil (masur), mug and maize crops 2010-11",,,,,,
1,Rangpur,,,,,,
2,(Area in acre and production in metric ton),,,,,,
3,Upazila,Lentil (masur) - Area,Lentil (masur) - Production,Mug - Area,Mug - Production,Maize - Area,Maize - Production
4,Badarganj,51,16,0,0,100,216
5,Gangachara,0,0,0,0,3200,6400
6,Kaunia,15,4.5,0,0,236,476
7,Mithapukur,29,10.15,28,14,7048,25553
8,Pirgachha,10,10,0,0,750,2250
9,Pirganj,185,74,25,10,7953,17895
10,Rangpur Sadar,84,22,6,1.8,1164,4874
11,Taraganj,0,0,0,0,85,208
12,Total,374,136.65,59,25.8,20536,57872
