,0,1,2,3,4,5,6
0,Daily average wage rate of construction labour 2011,,,,,,
1,Satkhira,,,,,,
2,(Rate in taka),,,,,,
3,Upazila,Labour Mason,Labour Helper (Jogaly),Labour Carpenter,Labour Colour,Labour Electric,Labour Plumber
4,Assasuni,280,180,250,250,300,300
5,Debhata,300,200,350,350,400,400
6,Kalaroa,250,180,250,250,250,250
7,Kaliganj,250,180,200,200,300,250
8,Satkhira Sadar,300,200,300,300,300,300
9,Shyamnagar,300,200,300,300,300,300
10,Tala,300,225,300,300,350,350
11,Average,283,195,279,279,314,307
