,0,1,2,3,4,5,6
0,Area and production of rice crops 2010-11,,,,,,
1,Sherpur,,,,,,
2,(Area in acre and production in metric ton),,,,,,
3,Upazila,Aus - Area,Aus - Production,Aman - Area,Aman - Production,Boro - Area,Boro - Production
4,Jhenaigati,5300,4945,38468,35503,30576,41951
5,Nakla,0,0,31486,35634,33509,59035
6,Nalitabari,13115,4982,141098,54844,133380,87510
7,Sherpur Sadar,7003,3339,56485,53984,57484,91914
8,Sreebardi,205,109,42015,34784,41319,69663
9,Total,25623,13375,309552,214749,296268,350073
