,0,1,2,3,4,5,6,7
0,Land utilization (temporary cropped area) 2008,,,,,,,
1,Sherpur,,,,,,,
2,,,,,,,,
3,Upazila,Current fallow,Temporary cropped area - Single,Temporary cropped area - Double,Temporary cropped area - Triple,Temporary cropped area - Net,Temporary cropped area - Gross,Productivity of crop
4,Jhenaigati,127,10806,16224,6550,33580,62904,187
5,Nakla,220,9616,18782,6887,35285,67841,192
6,Nalitabari,208,8178,47064,6303,61545,121215,197
7,Sherpur Sadar,358,12760,50986,9025,72771,141807,195
8,Sreebardi,58,5750,35102,4648,45500,89898,198
9,Total,970,47110,168158,33413,248681,483665,194
