,0,1,2,3,4,5,6
0,"Area and production of papaya, guava, lime and lemon 2010-11",,,,,,
1,Sirajganj,,,,,,
2,(Area in acre and production in metric ton),,,,,,
3,Upazila,Papaya Area,Papaya Production,Guava Area,Guava Production,Lime and lemon Area,Lime and lemon Production
4,Belkuchi,8,340,42,227,8,10
5,Chauhali,13,307,9,119,11,272
6,Kamarkhanda,5,107,63,292,4,29
7,Kazipur,74,600,618,2250,15,36
8,Royganj,62,500,74,450,37,150
9,Shahjadpur,12,569,4,66,5,176
10,Sirajganj Sadar,50,300,310,3750,5,250
11,Tarash,27,361,69,262,30,101
12,Ullahpara,22,168,141,279,25,38
13,Total,273,3252,1330,7695,140,1062
