,0,1,2,3,4,5,6,7
0,Average price of selected item 2011,,,,,,,
1,Sirajganj,,,,,,,
2,"(Price unit per kg, taka)",,,,,,,
3,Upazila,Fine rice (minicate),Medium rice,Coarse rice (normal),Wheat,Coarse flour (Aata),Potato,Soyabean oil
4,Belkuchi,43,34,30,18,27,15,120
5,Chauhali,42,30,25,21,29,15,130
6,Kamarkhanda,48,32,27,21,25,10,122
7,Kazipur,42,35,29,30,35,12,140
8,Royganj,44,35,27,21,27,13,135
9,Shahjadpur,40,33,30,22,30,12,130
10,Sirajganj Sadar,45,38,29,18,26,14,138
11,Tarash,40,32,27,18,26,12,103
12,Ullahpara,39,32,27,20,28,10,134
13,Average,43,33,28,21,28,13,128
