,0,1,2,3,4,5
0,Total land area based on utilization 2008,,,,,
1,Sunamganj,,,,,
2,(Area in acre),,,,,
3,Upazila, Total area,Permanent cropped area,Temporary cropped area, Permanent fallow area, Others
4,Bishwamvarpur,61440,4514,40380,800,12340
5,Chhatak,64483,1103,57207,841,5332
6,Dakshin Sunamganj,75940,200,47000,3935,24805
7,Derai,99148,1480,75259,5380,5705
8,Dharmapasha,91390,406,79019,345,11620
9,Doarabazar,69537,2340,37510,5015,24672
10,Jagannathpur,44644,3556,37489,12916,0
11,Jamalganj,83668,120,56220,420,26908
12,Shalla,41690,0,34742,6948,0
13,Sunamganj Sadar,47667,466,36686,3101,7414
14,Tahirpur,69807,2592,52534,10750,3931
15,Total,849417,16777,436210,50451,345979
