,0,1,2,3,4,5
0,Number of bakeries and person engaged 2011,,,,,
1,Sunamganj,,,,,
2,,,,,,
3,Upazila,Number of unit,Investment ( in lac taka),Person engaged Family,Person engaged Hired,Person engaged Total
4,Bishwamvarpur,3,2,6,20,26
5,Chhatak,7,8.40,12,47,59
6,Dakshin Sunamganj,2,3,4,20,24
7,Derai,3,5,8,25,33
8,Dharmapasha,12,30,20,122,142
9,Doarabazar,4,9,8,20,28
10,Jagannathpur,5,2.10,5,45,50
11,Jamalganj,8,5,10,20,30
12,Shalla,0,0,0,0,0
13,Sunamganj Sadar,2,6,5,21,26
14,Tahirpur,10,35.00,35,60,95
15,Total,56,105.5,113,403,513
