,0,1,2,3,4,5,6,7,8
0,"Number of college, teacher and student by municipality, city corporation 2011",,,,,,,,
1,Sylhet,,,,,,,,
2,,,,,,,,,
3,Upazila/City Corporation,Number of college,Number of teacher Male,Number of teacher Female,Number of teacher Total,Number of student Male,Number of student Female,Number of student Total,Student per teacher
4,Balaganj,0,0,0,0,0,0,0,0
5,Beanibazar,1,26,0,26,1802,1490,3592,138
6,Bishwanath,0,0,0,0,0,0,0,0
7,Companiganj,0,0,0,0,0,0,0,0
8,Dakhin Surma,0,0,0,0,0,0,0,0
9,Fenchuganj,0,0,0,0,0,0,0,0
10,Golapganj,0,0,0,0,0,0,0,0
11,Gowainghat,0,0,0,0,0,0,0,0
12,Jaintiapur,0,0,0,0,0,0,0,0
13,Kanaighat,2,53,27,80,3000,2150,5150,64
14,Sylhet City Corporation,11,229,124,353,15020,13085,28105,0
15,Sylhet Sadar,0,0,0,0,0,0,0,0
16,Zakiganj,1,9,2,11,245,123,368,33
17,Total,15,317,153,470,20067,16848,37215,79
