,0,1,2,3,4,5,6
0,Area and production of rice crops 2010-11,,,,,,
1,Sylhet,,,,,,
2,(Area in acre and production in metric ton),,,,,,
3,Upazila/City Corporation,Aus Area,Aus Production,Aman Area,Aman Production,Boro Area,Boro Production
4,Balaganj,4654,5547,36541,32314,39076,53900
5,Beanibazar,16505.5,1.85,20995,1.85,18006.3,3.75
6,Bishwanath,8320,7468,34700,26135,14920,17601
7,Companiganj,1815,1599,12231,13030,28156,35595
8,Dakhin Surma,6602,4326,28320,39100,13590,33500
9,Fenchuganj,2550,6375,4660,10535,3840,13393
10,Golapganj,9356,9333,30760,9267,9373,13500
11,Gowainghat,8760,1783.85,45760,4426240,8260,14873.6
12,Jaintiapur,9530,12435,23700,24933,10280,11500
13,Kanaighat,44855,44855,44655,44855,14672,15760
14,Sylhet City Corporation,0,0,0,0,0,0
15,Sylhet Sadar,6669,5264,23712,20063,13585,19579
16,Zakiganj,1010,1012,23200,15548,8000,2564
17,Total,120626.5,99999.7,329234,4662021.85,181758.3,231769.35
