,0,1,2,3,4,5,6
0,Police personnel and criminal offences by municipality 2011,,,,,,
1,Tangail,,,,,,
2,,,,,,,
3,Municipality,Police personnel,Criminal offence Number of offence,Criminal offence Number of case filled,Traffic accident (Reported) Number of accident,Traffic accident (Reported) Persons killed,Traffic accident (Reported) Persons injured
4,Basail,0,0,0,0,0,0
5,Bhuapur,30,34,34,0,0,0
6,Delduar,0,0,0,0,0,0
7,Dhanbari,6,23,23,1,1,0
8,Ghatail,48,735,360,20,2,18
9,Gopalpur,44,58,58,1,0,1
10,Kalihati,45,297,297,0,0,0
11,Madhupur,8,1,1,0,0,0
12,Mirzapur,8,112,34,4,2,8
13,Nagarpur,0,0,0,0,0,0
14,Sakhipur,40,171,171,5,5,0
15,Tangail Sadar,63,235,190,3,3,1
16,Total,292,1666,1168,34,13,28
