,0,1,2,3,4,5,6,7,8
0,"Number of growth centre, hat , bazar, poultry farm, dairy farm, nursery, horticulture centre, brick kiln, decorator service 2011",,,,,,,,
1,,,,,,,,,
2,Upazila,Growth centre,Hat /bazar,Poultry farm,Dairy farm,Nursery,Horticulture centre,Brick kiln,Decorator service
3,Akhaura,4,15,70,3,3,0,0,21
4,Ashuganj,3,7,126,117,3,0,7,23
5,Banchharampur,3,28,220,14,16,0,1,51
6,Bijoynagar,0,18,16,45,6,0,12,35
7,Brahmanbaria Sadar,2,13,29,93,5,1,10,90
8,Kasba,4,33,37,53,20,0,3,47
9,Nabinagar,8,64,222,178,17,0,9,78
10,Nasirnagar,5,35,150,18,5,0,15,60
11,Sarail,3,17,38,38,1,0,29,52
12,Total,32,230,908,559,76,1,86,457
