,0,1,2,3,4,5,6,7,8,9,10
0,Number of branch and accounts of Sonali and Janata bank 2011,,,,,,,,,,
1,,,,,,,,,,,
2, Upazila,Sonali Bank - Number of branch,Sonali Bank - Account - S.D,Sonali Bank - Account - C.D,Sonali Bank - Account - F.D,Sonali Bank - Account - S.T.D,Janata Bank - Number of branch,Janata Bank - Account - S.D,Janata Bank - Account - C.D,Janata Bank - Account - F.D,Janata Bank - Account - S.T.D
3,Bhola Sadar,2,0,0,196,236,2,3115,339,45,22
4,Burhanuddin,1,3760,279,161,48,4,24320,1320,426,23
5,Char Fasson,1,1,672,37,30,1,0,1466,131,12
6,Daulatkhan,1,2459,201,115,25,0,0,0,0,0
7,Lalmohan,2,594,0,142,34,0,0,0,0,0
8,Manpura,1,0,5,81,27,0,0,0,0,0
9,Tazumuddin,1,481,3,96,46,0,0,0,0,0
10,Total,9,7295,1160,828,446,7,27435,3125,602,57
