,0,1,2,3,4,5,6,7
0,Irrigation by means 2010-2011,,,,,,,
1,(In acre),,,,,,,
2,Upazila,Irrigation management Power pump,Irrigation management Tube well,Irrigation management Doon,Irrigation management Swing basket,Irrigation management Canal,Irrigation management Others,Total
3,Adamdighi,25951,0,0,0,0,30,31448
4,Bogra sadar,15671,26250,0,0,0,0,26550
5,Dhunat,1253,0,0,0,0,0,51250
6,Dhupchanchia,25375,0,0,0,500,350,850
7,Gabtali,8990,0,0,0,0,0,0
8,Kahaloo,39001,20,97,15,0,0,132
9,Nandigram,28144,0,0,0,100,0,100
10,Sariakandi,2234,0,0,0,0,0,150
11,Shajahanpur,13604,0,10,5,0,5,20
12,Sherpur,9204,0,0,0,0,0,3155
13,Shibganj,25132,0,8,0,0,0,8
14,Sonatola,1160,0,32,0,0,0,32
15,Total,195719,26270,147,20,600,385,113695
