,0,1,2,3,4
0,Number of rice mill and person engaged 2011,,,,
1,,,,,
2,Upazila,Unit,Person engaged - Male,Person engaged - Female,Person engaged - Total
3,Adarsha Sadar,0,0,0,0
4,Barura,7,14,22,36
5,Brahmanpara,1,8,22,30
6,Burichang,30,350,420,750
7,Chandina,0,0,0,0
8,Chauddagram,0,0,0,0
9,Comilla Sadar Dakshin,6,20,20,40
10,Daudkandi,0,0,0,0
11,Debidwar,0,0,0,0
12,Homna,0,0,0,0
13,Laksam,6,44,62,106
14,Monoharganj,52,72,0,72
15,Meghna,0,0,0,0
16,Muradnagar,0,0,0,0
17,Nangalkot,72,85,35,120
18,Titas,0,0,0,0
19,Total,174,593,581,1154
