,0,1,2,3,4,5,6,7,8
0,"Number of registered primary school (class I-V), teacher and student 2011",,,,,,,,
1,,,,,,,,,
2, Upazila,Number of registered primary school,Number of teacher - Male,Number of teacher - Female,Number of teacher - Total,Number of student - Male,Number of student - Female,Number of student - Total,Students per teacher
3,Alfadanga,21,21,38,59,1624,1697,3321,56
4,Bhanga,32,76,46,122,1999,2098,4097,34
5,Boalmari,32,63,46,109,2483,2518,5001,46
6,Charbhadrashon,19,51,12,63,2512,2863,5375,85
7,Faridpur Sadar,35,59,48,107,3400,4093,7493,70
8,Madhukhali,29,47,58,105,2797,2912,5709,54
9,Nagarkanda,26,56,20,76,3359,3415,6774,89
10,Sadarpur,54,87,129,216,4347,3315,9662,45
11,Saltha,29,61,31,92,3700,4769,8469,92
12,Total,277,521,428,949,26221,27680,55901,59
