,0,1,2,3,4,5,6,7,8
0,"Number of Government college, teacher and student 2011",,,,,,,,
1,,,,,,,,,
2, Upazila,Number of  college,Number of teacher - Male,Number of teacher - Female,Number of teacher - Total,Number of student - Male,Number of student - Female,Number of student - Total,Students per teacher
3,Atrai,0,0,0,0,0,0,0,0
4,Badalgachhi,1,17,1,18,698,160,858,47
5,Dhamoirhat,0,0,0,0,0,0,0,0
6,Manda,0,0,0,0,0,0,0,0
7,Mahadebpur,1,16,0,16,440,122,562,35
8,Naogaon sadar,2,60,15,75,5643,3809,9452,126
9,Niamatpur,0,0,0,0,0,0,0,0
10,Patnitala,1,19,2,21,1410,607,2017,96
11,Porsha,0,0,0,0,0,0,0,0
12,Raninagar,0,0,0,0,0,0,0,0
13,Sapahar,1,23,1,24,1468,299,1767,74
14,Total,6,135,19,154,9659,4997,14656,95
