,0,1,2,3,4,5,6
0,"Area and production of mango, litchi and blackberry 2009-10",,,,,,
1,(Area in acre and production in metric ton),,,,,,
2,Upazila,Mango - Area,Mango - Production,Litchi - Area,Litchi - Production,Blackberry - Area,Blackberry - Production
3,Begumganj,-,657,-,0,-,10
4,Chatkhil,-,519,-,3,-,6
5,Companiganj,-,463,-,40,-,15
6,Hatiya,-,41,-,19,-,35
7,Kabirhat,-,52,-,5,-,4
8,Noakhali Sadar,-,4510,-,4,-,37
9,Senbagh,-,96,-,6,-,6
10,Sonaimuri,-,38,-,5,-,4
11,Subarnachar,-,65,-,6,-,5
12,Total,-,6441,-,88,-,122
