,0,1,2,3,4,5,6,7,8
0,"Number of Non-government secondary school, teacher and student 2011",,,,,,,,
1,,,,,,,,,
2,Upazila Upazila 1,Number of school Number of school 2,Number of teacher Male 3,Number of teacher Female 4,Number of teacher Total 5,Number of student Male 6,Number of student Female 7,Number of student Total 8,Student per teacher Student per teacher 9
3,Atgharia,17,330,46,276,4013,5078,8861,32
4,Bera,19,173,47,220,6419,5572,11991,54
5,Bhangura,17,149,42,191,3705,3466,7171,38
6,Chatmohar,34,319,78,397,6292,6661,12953,33
7,Faridpur,14,112,45,157,2820,3040,5860,37
8,Ishwardi,33,316,130,446,8118,10338,18456,41
9,Pabna Sadar,52,552,188,740,13527,14025,27552,37
10,Santhia,30,401,81,482,12523,13083,25606,53
11,Sujanagar,32,430,34,464,9282,9043,18325,39
12,Total,248,2782,691,3373,66699,70306,136775,41
