,0,1,2,3,4,5,6
0,Area and production of rice crops 2009-2010,,,,,,
1,(Area in acre and production in metric ton),,,,,,
2, Upazila,Aus - Area,Aus - Production,Aman - Area,Aman - Production,Boro - Area,Boro - Production
3,Bauphal,32080,26788,89661,56332,5333,4713
4,Dashmina,15500,88,46200,43370,1750,110
5,Dumki,10300,5742,14530,7381,1820,8384
6,Galachipa,51870,37800,171665,130000,2470,2200
7,Kalapara,50700,36950,171660,130090,2550,2600
8,Mirzaganj,18000,761,29585,15787,115,197
9,Patuakhali Sadar,33600,17780,61800,37000,70,50
10,Total,212050,125910,585101,419960,14108,18254
