,0,1,2,3,4,5,6,7,8
0,"Number of Non-government secondary school, teacher and student 2011",,,,,,,,
1,,,,,,,,,
2,Upazila,Number of school,Number of teacher Male,Number of teacher Female,Number of teacher Total,Number of student Male,Number of student Female,Number of student Total,Students per teacher
3,Akhaura,15,133,33,166,4350,3540,7890,48
4,Ashuganj,15,104,49,153,4255,6586,10841,71
5,Banchharampur,19,174,34,208,6440,6962,13402,64
6,Bijoynagar,25,198,47,245,5549,7397,12946,53
7,Brahmanbaria Sadar,23,352,176,528,5488,7923,13411,25
8,Kasba,39,361,98,459,8922,11885,20807,45
9,Nabinagar,39,335,117,452,12544,17779,30323,67
10,Nasirnagar,13,140,36,176,5000,6000,11000,63
11,Sarail,19,194,49,243,4424,7232,11656,48
12,Total,207,1991,639,2630,56972,75304,132276,50
