,0,1,2,3,4,5,6
0,Area and production of rice crops 2010-11,,,,,,
1,(Area in acre and production in metric ton),,,,,,
2, Upazila,Aus - Area,Aus - Production,Aman - Area,Aman - Production,Boro - Area,Boro - Production
3,Alikadam,3460,1132,3165,3840,1610,2333
4,Bandarban Sadar,3466,111132,4769,5485,1680,1827
5,Lama,4050,3684,5576,7112,1864,3510
6,Naikhongchhari,1407,951,5725,8693,1805,3296
7,Rowangchhari,1875,753,1650,1773,1075,1896
8,Ruma,4690,2399,75,73,80,96
9,Thanchi,0,0,0,0,0,0
10,Total,18947,10054,20960,26976,7914,12758
