,0,1,2,3,4,5
0,Number of employee by type 2011,,,,,
1,,,,,,
2,Upazila/city corporation,Police personnel,Ansar personnel,VDP personnel,Autonomous body,Local government employee
3,Agailjhara,21,192,80,33,62
4,Babuganj,60,500,58,65,54
5,Bakerganj,45,500,58,30,317
6,Banaripara,59,289,55,2,114
7,Barisal city corporation,3184,64,0,83,368
8,Barisal sadar,37,64,0,83,106
9,Gaurnadi,156,2195,75,35,128
10,Hizla,45,324,97,7,65
11,Mehendiganj,57,548,30,21,154
12,Muladi,65,356,65,15,89
13,Wazirpur,110,114,42,4,93
14,Total,3839,5146,560,378,1550
