,0,1,2,3,4,5,6,7,8
0,"Number of college, teacher and student by municipality 2011",,,,,,,,
1,,,,,,,,,
2,Upazila,Number of college,Number of teacher Male,Number of teacher Female,Number of teacher Total,Number of student Male,Number of student Female,Number of student Total,Students per teacher
3,Adamdighi,3,61,22,83,1360,863,2223,27
4,Bogra sadar,7,328,116,444,24808,20063,44871,101
5,Dhunat,3,86,21,107,896,840,1736,16
6,Gabtali,3,48,9,57,567,788,1355,24
7,Dhupchanchia,2,105,14,119,636,1303,1939,16
8,Kahaloo,2,99,30,129,1162,430,1592,12
9,Nandigram,2,70,20,90,605,610,1215,14
10,Sariakandi,2,57,19,76,1083,826,1909,25
11,Sherpur,2,70,28,98,1275,845,2120,22
12,Shibganj,2,52,18,70,411,668,1079,15
13,Sonatola,2,25,9,34,517,582,1099,32
14,Shajahanpur,0,0,0,0,0,0,0,0
15,Total,30,1001,306,1307,33320,27818,61138,47
