,0,1,2,3,4,5,6,7,8
0,"Number of technical and vocational institution, teacher and student 2011",,,,,,,,
1,,,,,,,,,
2,Upazila,Institution,Number of teacher Male,Number of teacher Female,Number of teacher Total,Number of student Male,Number of student Female,Number of student Total,Students per teacher
3,Adamdighi,2,10,3,13,261,53,314,24
4,Bogra sadar,17,281,42,323,4324,1066,5390,17
5,Dhunat,5,54,13,67,711,258,969,14
6,Gabtali,1,4,2,6,11,49,60,10
7,Dhupchanchia,2,12,1,13,67,32,99,61
8,Kahaloo,1,3,3,6,105,47,152,25
9,Nandigram,3,21,11,32,298,355,653,20
10,Sariakandi,2,9,1,10,119,49,168,17
11,Sherpur,6,60,15,75,455,250,705,90
12,Shibganj,5,24,2,26,585,100,685,26
13,Sonatola,4,38,11,49,676,240,891,18
14,Shajahanpur,1,19,2,21,279,152,431,20
15,Total,49,535,106,641,7891,2651,10517,16
