,0,1,2,3,4,5
0,Average rate of vehicle per kilo meter 2011,,,,,
1,,,,,,
2,(Rate in taka),(Rate in taka),(Rate in taka),(Rate in taka),(Rate in taka),(Rate in taka)
3, Upazila,Vehicle,Vehicle,Vehicle,Vehicle,Vehicle
4, Upazila,Rickshaw,Rickshaw van,Easy bike,Auto rickshaw,Tempo
5,Chandpur Sadar,15,10,10,5,5
6,Foridganj,15,30,5,4,4
7,Haimchar,20,60,10,14,0
8,Hajiganj,10,20,10,5,5
9,Kachua,20,20,10,5,5
10,Matlab Dakshin,10,20,10,5,4
11,Matlab Uttar,10,20,15,10,5
12,Shahrasti,10,20,5,5,5
13,Average,14,25,9,7,4
