,0,1,2,3,4,5,6
0,"Number of municipality, union, mauza, mahalla and village 2011",,,,,,
1,,,,,,,
2,Upazila,Municipality,Ward (PSA),Mahalla,Union,Mauza,Village
3,Anowara,0,0,0,11,85,81
4,Banshkhali,1,9,38,14,72,81
5,Boalkhali,0,0,0,10,31,33
6,Chandanaish,1,9,12,9,44,46
7,Fatikchhari,0,0,0,21,102,206
8,Hathazari,0,0,1,16,48,55
9,Lohagara,0,0,0,9,40,43
10,Mirsharai,2,18,41,16,113,208
11,Patiya,1,9,13,22,102,121
12,Rangunia,1,9,22,15,73,138
13,Raozan,1,9,17,14,64,66
14,Sandwip,1,9,10,15,46,34
15,Satkania,1,9,19,17,73,84
16,Sitakunda,1,9,24,10,69,88
17,Total,10,90,199,194,985,1267
