,0,1,2,3,4
0,Number of rice mill and person engaged 2011,,,,
1,,,,,
2,Upazila/City corporation,Unit,Person engaged - Male,Person engaged - Female,Person engaged - Total
3,Anowara,42,70,0,70
4,Banshkhali,182,352,0,352
5,Boalkhali,0,0,0,0
6,Chandanaish,0,0,0,0
7,Chittagong City Corp.,50,208,34,500
8,Fatikchhari,281,299,18,318
9,Hathazari,0,0,0,0
10,Lohagara,0,0,0,0
11,Mirsharai,8,32,76,108
12,Patiya,63,126,0,126
13,Rangunia,0,0,0,0
14,Raozan,375,375,0,375
15,Sandwip,20,30,5,35
16,Satkania,86,86,0,86
17,Sitakunda,37,37,0,37
18,Total,1186,1615,133,2007
