,0,1,2,3,4,5,6
0,Area and production of potato by type 2009-10,,,,,,
1,(Area in acre and production in metric ton),,,,,,
2,Upazila,Potato - Area,Potato - Production,Sweet potato - Area,Sweet potato - Production,Total potato - Area,Total potato - Production
3,Adarsha Sadar,892,6494,49,240,941,6734
4,Barura,2215,21582,121,581,2336,22163
5,Brahmanpara,212,1351,463,1757,675,3175
6,Burichang,2800,2850,150,1250,2950,4100
7,Chandina,7410,60021,190,1309,7600,61330
8,Chauddagram,209,1546,202,655,411,1701
9,Comilla Sadar Dakshin,265,6625,85,2425,350,9050
10,Daudkandi,15875,153135,54,434,16929,153569
11,Debidwar,2505,8342,40,44,2545,8386
12,Homna,0,272,1156,311,1295,3245
13,Laksam,86,1333,11,28,97,1360
14,Monoharganj,79,312,55,287,134,599
15,Meghna,1036,7493,420,1018,1456,8511
16,Muradnagar,780,5146,1135,8740,1915,13846
17,Nangalkot,240,841,210,1120,450,1961
18,Titas,984,8258,504,1431,1488,9689
19,Total,35588,285601,4845,21630,41572,309419
