,0,1,2,3,4,5,6
0,"Area, population and density by municipality 2011",,,,,,
1,,,,,,,
2, Upazila,Name of municipality,Area (In sq. km.),Population census-2011 - Male,Population census-2011 - Female,Population census-2011 - Total,Density per sq.km.
3,Chakaria,Chakaria,5.51,37328,35341,72669,13188
4,Cox's Bazar Sadar,CoxsBazar,13.78,94279,73198,167477,12154
5,Kutubdia,-,0,0,0,0,0
6,Moheshkhali,Moheshkhali,5,14069,13252,27321,5464
7,Pekua,-,0,0,0,0,0
8,Ramu,-,0,0,0,0,0
9,Teknaf,Teknaf,5,13296,11760,25056,5011
10,Ukhia,-,0,0,0,0,0
11,Total,,29.29,158972,133551,292523,9987
