,0,1,2,3,4,5,6
0,Area and production of potato by type 2010-11,,,,,,
1,(Area in acre and production in metric ton),,,,,,
2, Upazila,Potato - Area,Potato - Production,Sweet potato - Area,Sweet potato - Production,Total potato - Area,Total potato - Production
3,Chakaria,340.4,2089,324,992,664.65,3081
4,Cox's Bazar Sadar,252,1035,111,594,363,1628
5,Kutubdia,4,10,2,2,5.8,1120
6,Moheshkhali,100,600,62,300,162,900
7,Pekua,81.16,491,84,266,165.16,717
8,Ramu,217.5,992,107,535,324.5,1527
9,Teknaf,185.2,1175,107,807,292.2,1983
10,Ukhia,396,1598,287,1341,683.5,2939
11,Total,1576.26,7990,1084,4837,2660.81,13895
