,0,1,2,3,4,5,6
0,Daily average wage rate of construction labour 2011,,,,,,
1,,,,,,,
2,(Rate in taka) -  Upazila,(Rate in taka) - Labour - Mason,(Rate in taka) - Labour - Helper (Jogaly),(Rate in taka) - Labour - Carpenter,(Rate in taka) - Labour - Colour,(Rate in taka) - Labour - Electric,(Rate in taka) - Labour - Plumber
3,Chakaria,400,200,400,400,400,450
4,Cox's Bazar Sadar,400,250,350,500,300,500
5,Kutubdia,400,260,350,300,300,350
6,Moheshkhali,450,250,450,500,500,450
7,Pekua,500,350,450,450,380,380
8,Ramu,550,350,550,400,400,550
9,Teknaf,400,280,400,350,400,400
10,Ukhia,350,250,450,350,500,300
11,Average,431,274,425,406,398,423
