,0,1,2,3,4,5,6
0,Number of textile industry 2011,,,,,,
1,,,,,,,
2,Upazila,Number of mill,Installed capacity - Spindle,Installed capacity - Loom,Total persons engaged - Male,Total persons engaged - Female,Total persons engaged - Total
3,Alfadanga,0,0,0,0,0,0
4,Bhanga,0,0,0,0,0,0
5,Boalmari,0,0,0,0,0,0
6,Charbhadrashon,0,0,0,0,0,0
7,Faridpur Sadar,0,0,0,0,0,0
8,Madhukhali,0,0,0,0,0,0
9,Nagarkanda,0,0,0,0,0,0
10,Sadarpur,1,0,0,200,250,450
11,Saltha,0,0,0,0,0,0
12,Total,1,0,0,200,250,450
