,0,1,2,3,4,5,6,7,8
0,"Number of NGO school, teacher and student 2011",,,,,,,,
1,,,,,,,,,
2, Upazila,Number of NGO school,Number of teacher - Male,Number of teacher - Female,Number of teacher - Total,Number of student - Male,Number of student - Female,Number of student - Total,Students per teacher
3,Fulchhari,316,221,195,316,5494,4161,9655,30
4,Gaibandha Sadar,35,0,35,35,420,630,1050,30
5,Gobindaganj,120,0,120,120,1600,2000,3600,30
6,Palashbari,108,0,108,108,1083,1526,2609,24
7,Sadullapur,8,14,10,24,135,77,312,13
8,Saghata,175,0,175,175,3094,2156,5250,30
9,Sundarganj,129,0,188,188,11056,11978,23034,122
10,Total,891,235,831,966,22882,22528,45510,47
