,0,1,2,3,4,5,6
0,Number of holding reporting cattle head 2008,,,,,,
1,,,,,,,
2, Upazila, Total holding,Number of holding based on cattle heads - 1-3 head,Number of holding based on cattle heads - 4-6 head,Number of holding based on cattle heads - 7 -9 head,Number of holding based on cattle heads - 10-15 head,Number of holding based on cattle heads - 15 head & above
3,Azmirigonj,7003,0,0,0,0,0
4,Bahubal,13975,12852,579,428,116,0
5,Baniachang,19585,3650,2300,1025,663,356
6,Chunarughat,26679,21500,16000,4000,2600,1500
7,Habiganj Sadar,18320,22400,10050,4350,1650,0
8,Lakhai,9879,7082,4936,3648,3219,2575
9,Madhabpur,23615,17521,614,127,19,0
10,Nabiganj,19124,8887,5873,4364,1289,1072
11,Total,138180,93892,40352,17942,9556,5503
