,0,1,2,3,4,5,6
0,Area and production of rice crops 2009-2010,,,,,,
1,(Area in acre and production in metric ton),,,,,,
2,Upazila,Aus - Area,Aus - Production,Aman - Area,Aman - Production,Boro - Area,Boro - Production
3,Bakshiganj,146,89,33200,34576,34004,50697
4,Dewanganj,0,0,25934,24711,25935,44610
5,Islampur,1850,1841,38062,28076,40647,66742
6,Jamalpur Sadar,83,40,67700,52326,73474,118373
7,Madarganj,750,381,30800,15899,43720,71460
8,Melandaha,366,187,38538,35507,50516,81394
9,Sarishabari,11,4,36000,32238,49351,78977
10,Total,3206,2542,270234,223333,317647,512253
