,0,1,2,3,4,5,6
0,"Area and production of pepper, onion and garlic 2009-10",,,,,,
1,(Area in acre and production in metric ton),,,,,,
2,Upazila,Pepper Area,Pepper Production,Onion Area,Onion Production,Garlic Area,Garlic Production
3,Harinakunda,65,208,304,1216,215,602
4,Jhenaidah Sadar,550,1300,405,1742,207,610
5,Kaliganj,157,275,346,966,170,332
6,Kotchandpur,188,274,393,1558,133,180
7,Mahespur,724,2567,895,3580,446,1249
8,Shailkupa,1456,2619,9850,19700,1315,1472
9,Total,3140,7243,12193,28762,2486,4445
