,0,1,2,3,4,5,6,7,8
0,"Number of Medical College, Teacher and Student 2011",,,,,,,,
1,,,,,,,,,
2,Upazila/city corporation,Number of college,Number of teacher Male,Number of teacher Female,Number of teacher Total,Number of student Male,Number of student Female,Number of student Total,Students per teacher
3,Batiaghata,0,0,0,0,0,0,0,0
4,Dacope,0,0,0,0,0,0,0,0
5,Dighalia,0,0,0,0,0,0,0,0
6,Dumuria,0,0,0,0,0,0,0,0
7,Khulna City Corporation,1,75,10,85,213,138,351,4
8,Koyra,0,0,0,0,0,0,0,0
9,Paikgachha,0,0,0,0,0,0,0,0
10,Phultala,0,0,0,0,0,0,0,0
11,Rupsa,0,0,0,0,0,0,0,0
12,Terokhada,0,0,0,0,0,0,0,0
13,Total,1,75,10,85,213,138,351,4
