,0,1,2,3,4,5
0,"Number of physician, practitioner in the upazila, city corporation 2011",,,,,
1,,,,,,
2,Upazila/city corporation,Total physicians,"MBBS, FCPS/over",L.M.F,Unani / Ayurbedic,Homeopathy
3,Batiaghata,329,11,153,10,155
4,Dacope,75,1,32,0,42
5,Dighalia,56,18,3,4,31
6,Dumuria,186,1,32,21,132
7,Khulna City Corporation,402,136,128,31,207
8,Koyra,78,3,25,5,45
9,Paikgachha,95,0,47,6,42
10,Phultala,32,4,1,1,26
11,Rupsa,83,9,13,2,59
12,Terokhada,20,3,2,2,13
13,Total,1356,186,436,82,752
