,0,1,2,3,4,5,6,7,8,9,10,11
0,"Population and literacy rate of 1981, 1991, 2001 & 2011 and number of voter 2011",,,,,,,,,,,
1,,,,,,,,,,,,
2, Upazila,Population (000) - 1981,Population (000) - 1991,Population (000) - 2001,Population (000) - 2011,Literacy rate (%) - 1981,Literacy rate (%) - 1991,Literacy rate (%) - 2001,Literacy rate (%) - 2011,Number of voter (000) - Male,Number of voter (000) - Female,Number of voter (000) - Total
3,Atrai,139,167,180,193,23.4,26.8,41.8,45.4,62,65,127
4,Badalgachhi,162,176,186,201,24.1,28.4,45.2,49.5,65,68,133
5,Dhamoirhat,124,152,170,184,33.9,28.4,47.9,50.1,60,61,121
6,Manda,248,331,353,364,19.5,24.3,40.7,46.3,118,128,246
7,Mahadebpur,199,232,266,293,25.6,27.8,45.3,49.8,94,98,192
8,Naogaon sadar,260,328,354,405,28.0,34.5,48.2,53.5,129,133,262
9,Niamatpur,152,193,226,249,17.7,25.8,41.1,44.7,75,81,156
10,Patnitala,153,198,209,232,28.0,32.0,49.8,52.5,75,76,151
11,Porsha,81,97,122,132,21.0,26.0,35.6,47.8,38,40,78
12,Raninagar,224,158,181,185,22.4,28.4,47.7,46.0,59,62,121
13,Sapahar,85,116,144,162,16.52,23.01,40.4,42.2,48,49,97
14,Total,1827,2148,2391,2600,25.2,28.4,44.2,48.2,823,861,1684
