,0,1,2,3,4,5,6
0,"Area and production of pepper, onion and garlic 2010-11",,,,,,
1,(Area in acre and production in metric ton),,,,,,
2,Upazila,Pepper Area,Pepper Production,Onion Area,Onion Production,Garlic Area,Garlic Production
3,Atrai,19,19,330,719,66,96
4,Badalgachhi,720,3439,1200,4031,245,750
5,Dhamoirhat,59,51,470,1081,34,71
6,Manda,53,38,1900,10944,500,2400
7,Mahadebpur,187,93,280,840,29,42
8,Naogaon sadar,37,36,505,1245,42,48
9,Niamatpur,21,21,309,657,281,428
10,Patnitala,93,29,361,733,71,176
11,Porsha,9,6,482,1099,16,20
12,Raninagar,11,5,39,107,21,25
13,Sapahar,74,105,384,850,272,350
14,Total,1283,3843,6260,22305,1577,4406
