,0,1,2,3,4,5,6
0,"Area and production of wheat, jute and sugarcane 2010-11",,,,,,
1,(Area in acre and production in metric ton),,,,,,
2, Upazila,Wheat - Area,Wheat - Production,Jute - Area,Jute - Production,Sugarcane - Area,Sugarcane - Production
3,Atrai,2100,48,33,23,11,110
4,Badalgachhi,1230,1377,6525,6024,409,7506
5,Dhamoirhat,800,960,3261,3186,1005,10050
6,Manda,4185,4018,1552,1508,220,4400
7,Mahadebpur,1200,1224,670,626,850,16150
8,Naogaon sadar,1820,1545,1860,1807,24,458
9,Niamatpur,5870,7496,0,0,0,0
10,Patnitala,915,1229,1009,868,2739,38346
11,Porsha,3252,3232,0,0,0,0
12,Raninagar,119,98,15,15,19,369
13,Sapahar,6431,7061,0,0,0,0
14,Total,27922,28287,14925,14057,5277,77389
