,0,1,2,3,4,5,6
0,Number of missionary hospital and charitable dispensary 2011,,,,,,
1,,,,,,,
2,Upazila,Number of centre,Number of bed,Number of doctor,Number of nurse,Number of technician,Number of other staff
3,Atrai,1,0,1,0,1,2
4,Badalgachhi,0,0,0,0,0,0
5,Dhamoirhat,0,0,0,0,0,0
6,Manda,0,0,0,0,0,0
7,Mahadebpur,0,0,0,0,0,0
8,Naogaon sadar,0,0,0,0,0,0
9,Niamatpur,2,20,10,8,6,9
10,Patnitala,1,36,1,6,2,8
11,Porsha,0,0,0,0,0,0
12,Raninagar,0,0,0,0,0,0
13,Sapahar,0,0,0,0,0,0
14,Total,4,56,12,14,9,19
