,0,1,2,3
0,Daily average wage rate of agricultural labour 2011,,,
1,,,,
2,(Rate in taka) -  Upazila,(Rate in taka) - Labour - Male,(Rate in taka) - Labour - Female,(Rate in taka) - Labour - Child (under 15 years old)
3,Atrai,200,170,130
4,Badalgachhi,200,190,110
5,Dhamoirhat,250,200,120
6,Manda,200,150,0
7,Mahadebpur,200,150,100
8,Naogaon sadar,230,200,130
9,Niamatpur,180,150,120
10,Patnitala,250,200,150
11,Porsha,150,120,100
12,Raninagar,240,125,50
13,Sapahar,200,180,120
14,Average,209,167,113
