,0,1,2,3,4,5,6
0,"Area and production of jackfruit, banana and pineapple 2009-10",,,,,,
1,(Area in acre and production in metric ton),,,,,,
2,Upazila,Jackfruit Area,Jackfruit Production,Banana Area,Banana Production,Pineapple Area,Pineapple Production
3,Bauphal,268,604,69,283,135,246
4,Dashmina,140,202,15,56,0,0
5,Dumki,71,20,88,6,1,4
6,Galachipa,118,2950,105,1650,7,46
7,Kalapara,17,284,324,227,3,4
8,Mirzaganj,35,416,34,10,0,0
9,Patuakhali Sadar,212,318,321,576,5,6
10,Total,861,4794,956,2808,151,305
