,0,1,2,3,4,5,6
0,"Area and production of pepper, onion and garlic 2009-10",,,,,,
1,(Area in acre and production in metric ton),,,,,,
2,Upazila,Pepper Area,Pepper Production,Onion Area,Onion Production,Garlic Area,Garlic Production
3,Bauphal,1732,482,23,22,256,222
4,Dashmina,3400,1088,62,18,138,275
5,Dumki,75,18,6,9,6,16
6,Galachipa,11450,4100,21,63,240,792
7,Kalapara,377,85,16,12,19,12
8,Mirzaganj,255,186,26,30,20,14
9,Patuakhali Sadar,870,331,15,12,21,17
10,Total,18159,6290,169,166,699,1348
