,0,1,2,3,4,5,6
0,"Area and production of tomato, radish and bean 2009-10",,,,,,
1,(Area in acre and production in metric ton),,,,,,
2,Upazila,Tomato Area,Tomato Production,Radish Area,Radish Production,Bean Area,Bean Production
3,Bauphal,74,41,99,433,107,114
4,Dashmina,38,330,125,2,32,130
5,Dumki,7,19,35,53,14,57
6,Galachipa,120,583,170,950,78,310
7,Kalapara,20319,21319,29,71,27,17398
8,Mirzaganj,12,10,13,20,11,6
9,Patuakhali Sadar,23,28,53,110,18,11
10,Total,20593,22330,523,1639,287,18026
