,0,1,2,3,4,5
0,"Number of family planning personnel working by municipality, city corporation 2011",,,,,
1,,,,,,
2,Municipality /city corporation,Doctor,Family planning inspector,Family planning assistant,Family planning visitor,Midwife/ birth attendant (dai)
3,Bagha,1,2,7,2,0
4,Baghmara,0,0,5,0,0
5,Charghat,1,0,1,1,1
6,Durgapur,5,4,2,4,0
7,Godagari,3,1,4,2,0
8,Mohanpur,0,1,1,3,0
9,Paba,1,1,8,1,0
10,Puthia,2,1,3,1,6
11,Rajshahi city corporation,0,0,0,0,0
12,Tanore,2,2,1,2,10
13,Total,15,12,32,16,17
