,0,1,2,3,4,5,6
0,"Area and production of wheat, jute and sugarcane 2009-10",,,,,,
1,(Area in acre and production in metric ton),,,,,,
2,Upazila/city corporation,Wheat Area,Wheat Production,Jute Area,Jute Production,Sugarcane Area,Sugarcane Production
3,Bagha,15000,17100,9500,9500,12500,200000
4,Baghmara,2260,2087,609,549,21,42
5,Charghat,15500,10850,415,392,5000,90000
6,Durgapur,7318,7028,2095,1890,144,2787
7,Godagari,10078,11736,350,1240,272,8200
8,Mohanpur,1990,1856,155,176,8,18
9,Paba,6860,7585,4295,4153,5390,119341
10,Puthia,8475,9153,4859,5827,7238,117255
11,Rajshahi city corporation,187,166,0,0,246,4925
12,Tanore,1700,2006,0,0,0,0
13,Total,69368,69567,22278,23727,30819,542568
