,0,1,2,3,4,5,6
0,"Area and production of lentil (masur), mug and maize crops 2010-11",,,,,,
1,(Area in acre and production in metric ton),,,,,,
2,Upazila,Lentil (Masur) Area,Lentil (Masur) Production,Mug Area,Mug Production,Maize Area,Maize Production
3,Akhaura,0,0,0,0,0,0
4,Ashuganj,0,0,0,0,0,0
5,Banchharampur,543,330,0,0,12,4
6,Bijoynagar,128,49.49,17.1,4.44,0,0
7,Brahmanbaria Sadar,257,97.28,36.8,9.64,0,0
8,Kasba,29,7.83,0,0,0,0
9,Nabinagar,887,129,0,0,0,0
10,Nasirnagar,560,151,0,0,78,4014
11,Sarail,0,0,0,0,0,0
12,Total,2404,764.6,53.9,14.08,90,4018
