,0,1,2,3,4,5,6,7,8
0,"Number of kindergarten school (pre schooling), teacher and student 2011",,,,,,,,
1,,,,,,,,,
2,Upazila,Number of kindergarten school,Number of teacher Male,Number of teacher Female,Number of teacher Total,Number of student Male,Number of student Female,Number of student Total,Students per teacher
3,Akhaura,20,110,105,215,2000,2100,4200,20
4,Ashuganj,37,82,177,259,3015,2720,5735,22
5,Banchharampur,36,57,226,283,1929,1786,2978,11
6,Bijoynagar,27,65,97,162,4644,2317,6961,43
7,Brahmanbaria Sadar,115,230,345,575,9200,9775,19695,34
8,Kasba,52,65,195,260,3302,1907,5209,20
9,Nabinagar,60,210,320,530,4100,5005,9105,17
10,Nasirnagar,5,8,20,28,450,650,1000,36
11,Sarail,40,70,80,150,620,782,1402,9
12,Total,392,897,1565,2462,29260,27042,56285,23
